arm,step,residual_saturation,noise_VJP,outputs,path_gradients
C0,1300,0.17817635834217072,"{""AU"": {""vjp_norm"": 0.33834803104400635, ""finite"": true}, ""VA"": {""vjp_norm"": 2.4634335041046143, ""finite"": true}, ""expression"": {""vjp_norm"": 0.234646737575531, ""finite"": true}}","{""AU"": {""mean"": 0.20206144452095032, ""std"": 0.2275855988264084, ""abs_quantiles"": {""min"": 0.00530721852555871, ""p05"": 0.01395654771476984, ""p50"": 0.0996755063533783, ""p95"": 0.724955141544342, ""p99"": 0.8819465637207031, ""max"": 0.925480306148529}, ""boundary_fraction"": 0.01646626554429531, ""prediction_std"": 0.06573851406574249}, ""VA"": {""mean"": -0.03795294091105461, ""std"": 0.6484782695770264, ""abs_quantiles"": {""min"": 2.3245811462402344e-06, ""p05"": 0.2252696305513382, ""p50"": 0.6367838978767395, ""p95"": 0.9041537046432495, ""p99"": 0.9460006356239319, ""max"": 0.9767372012138367}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.491771399974823}, ""expression"": {""mean"": 0.125, ""std"": 0.14819636940956116, ""abs_quantiles"": {""min"": 0.0019361082231625915, ""p05"": 0.005492566153407097, ""p50"": 0.061362385749816895, ""p95"": 0.445980042219162, ""p99"": 0.642047643661499, ""max"": 0.8512188196182251}, ""boundary_fraction"": 0.14032231271266937, ""prediction_std"": 0.06259650737047195}}","{""encoder_H"": {""all"": 0.00037131228600628674}, ""decoder_hidden"": {""all"": 4.941053703078069e-05}, ""base_logits"": {""AU"": 0.0004290260258130729, ""VA"": 0.0007382366457022727, ""expression"": 0.0003286684222985059}, ""stochastic_logits"": {""AU"": 0.00010114460746990517, ""VA"": 0.00021271215518936515, ""expression"": 6.440540892072022e-05}, ""final_raw"": {""AU"": 0.0002288303803652525, ""VA"": 0.0005146454786881804, ""expression"": 0.00018407760944683105}}"
C0,1100,0.15852999687194824,"{""AU"": {""vjp_norm"": 0.18806566298007965, ""finite"": true}, ""VA"": {""vjp_norm"": 1.3726909160614014, ""finite"": true}, ""expression"": {""vjp_norm"": 0.16255463659763336, ""finite"": true}}","{""AU"": {""mean"": 0.16056694090366364, ""std"": 0.19192016124725342, ""abs_quantiles"": {""min"": 0.005745908245444298, ""p05"": 0.012219632975757122, ""p50"": 0.07218815386295319, ""p95"": 0.6084521412849426, ""p99"": 0.7487334609031677, ""max"": 0.9452419281005859}, ""boundary_fraction"": 0.021033333614468575, ""prediction_std"": 0.04981505125761032}, ""VA"": {""mean"": 0.23543530702590942, ""std"": 0.6467022895812988, ""abs_quantiles"": {""min"": 0.0003419145941734314, ""p05"": 0.1602293699979782, ""p50"": 0.7012184858322144, ""p95"": 0.9326671361923218, ""p99"": 0.967333972454071, ""max"": 0.983422577381134}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.4628590941429138}, ""expression"": {""mean"": 0.125, ""std"": 0.1591014564037323, ""abs_quantiles"": {""min"": 0.002315460704267025, ""p05"": 0.008006984367966652, ""p50"": 0.06276930868625641, ""p95"": 0.5017852783203125, ""p99"": 0.7259355783462524, ""max"": 0.9404386878013611}, ""boundary_fraction"": 0.0885416641831398, ""prediction_std"": 0.05940086767077446}}","{""encoder_H"": {""all"": 0.00028228809242136776}, ""decoder_hidden"": {""all"": 4.59571965620853e-05}, ""base_logits"": {""AU"": 0.00039791350718587637, ""VA"": 0.0007189976749941707, ""expression"": 0.0002474515058565885}, ""stochastic_logits"": {""AU"": 9.086186764761806e-05, ""VA"": 0.00023430807050317526, ""expression"": 6.087337533244863e-05}, ""final_raw"": {""AU"": 0.00021194139844737947, ""VA"": 0.0005596228875219822, ""expression"": 0.00014052966434974223}}"
C0,200,0.022590000182390213,"{""AU"": {""vjp_norm"": 0.03409621864557266, ""finite"": true}, ""VA"": {""vjp_norm"": 0.9615820050239563, ""finite"": true}, ""expression"": {""vjp_norm"": 0.0549304224550724, ""finite"": true}}","{""AU"": {""mean"": 0.18821164965629578, ""std"": 0.17906056344509125, ""abs_quantiles"": {""min"": 0.013119079172611237, ""p05"": 0.024853216484189034, ""p50"": 0.13726961612701416, ""p95"": 0.5956918001174927, ""p99"": 0.6998090744018555, ""max"": 0.8091188669204712}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.012716167606413364}, ""VA"": {""mean"": 0.07250629365444183, ""std"": 0.46603330969810486, ""abs_quantiles"": {""min"": 8.404254913330078e-06, ""p05"": 0.026503147557377815, ""p50"": 0.3098485469818115, ""p95"": 0.8060449957847595, ""p99"": 0.8742940425872803, ""max"": 0.9319328665733337}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.27195850014686584}, ""expression"": {""mean"": 0.125, ""std"": 0.1370423287153244, ""abs_quantiles"": {""min"": 0.00887651089578867, ""p05"": 0.01765451766550541, ""p50"": 0.07717591524124146, ""p95"": 0.47978535294532776, ""p99"": 0.594987690448761, ""max"": 0.7409563064575195}, ""boundary_fraction"": 0.00011458333028713241, ""prediction_std"": 0.02492360956966877}}","{""encoder_H"": {""all"": 0.00032083061523735523}, ""decoder_hidden"": {""all"": 0.00010969794675474986}, ""base_logits"": {""AU"": 0.0005326754762791097, ""VA"": 0.001058442983776331, ""expression"": 0.0003509565722197294}, ""stochastic_logits"": {""AU"": 0.00014056214422453195, ""VA"": 0.0004963876563124359, ""expression"": 0.00010149538138648495}, ""final_raw"": {""AU"": 0.0002710101834964007, ""VA"": 0.0008121260325424373, ""expression"": 0.00019019926548935473}}"
C0,300,0.098213329911232,"{""AU"": {""vjp_norm"": 0.07453218102455139, ""finite"": true}, ""VA"": {""vjp_norm"": 1.4117261171340942, ""finite"": true}, ""expression"": {""vjp_norm"": 0.06161061301827431, ""finite"": true}}","{""AU"": {""mean"": 0.18317911028862, ""std"": 0.19783319532871246, ""abs_quantiles"": {""min"": 0.013329893350601196, ""p05"": 0.02596043050289154, ""p50"": 0.09620878100395203, ""p95"": 0.6745363473892212, ""p99"": 0.796125054359436, ""max"": 0.89112788438797}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.03677060082554817}, ""VA"": {""mean"": 0.22015894949436188, ""std"": 0.652104914188385, ""abs_quantiles"": {""min"": 0.0003837346739601344, ""p05"": 0.2349911779165268, ""p50"": 0.7065489292144775, ""p95"": 0.8844584226608276, ""p99"": 0.930489718914032, ""max"": 0.9620574116706848}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.48990094661712646}, ""expression"": {""mean"": 0.125, ""std"": 0.16031306982040405, ""abs_quantiles"": {""min"": 0.006273637525737286, ""p05"": 0.014778059907257557, ""p50"": 0.07100890576839447, ""p95"": 0.5463643670082092, ""p99"": 0.7072777152061462, ""max"": 0.8179040551185608}, ""boundary_fraction"": 0.003718749852851033, ""prediction_std"": 0.03393862023949623}}","{""encoder_H"": {""all"": 0.00046136233140714467}, ""decoder_hidden"": {""all"": 9.014236275106668e-05}, ""base_logits"": {""AU"": 0.00045139019493944943, ""VA"": 0.0008890609024092555, ""expression"": 0.0003109787649009377}, ""stochastic_logits"": {""AU"": 0.00018356143846176565, ""VA"": 0.00032933452166616917, ""expression"": 7.071996515151113e-05}, ""final_raw"": {""AU"": 0.0002520703710615635, ""VA"": 0.0006138011813163757, ""expression"": 0.0001624347933102399}}"
C0,100,0.0,"{""AU"": {""vjp_norm"": 0.0030056803952902555, ""finite"": true}, ""VA"": {""vjp_norm"": 0.3623843789100647, ""finite"": true}, ""expression"": {""vjp_norm"": 0.0043387035839259624, ""finite"": true}}","{""AU"": {""mean"": 0.14837178587913513, ""std"": 0.14033716917037964, ""abs_quantiles"": {""min"": 0.016683436930179596, ""p05"": 0.02844839356839657, ""p50"": 0.1060037612915039, ""p95"": 0.5309626460075378, ""p99"": 0.6199321150779724, ""max"": 0.7200585603713989}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.0014132644282653928}, ""VA"": {""mean"": -0.009912689216434956, ""std"": 0.3550383746623993, ""abs_quantiles"": {""min"": 1.239776611328125e-05, ""p05"": 0.010927349328994751, ""p50"": 0.1364646553993225, ""p95"": 0.7581178545951843, ""p99"": 0.8199207186698914, ""max"": 0.876213788986206}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.22606368362903595}, ""expression"": {""mean"": 0.125, ""std"": 0.1512349247932434, ""abs_quantiles"": {""min"": 0.008795659057796001, ""p05"": 0.018379203975200653, ""p50"": 0.06625428050756454, ""p95"": 0.5194186568260193, ""p99"": 0.5752524733543396, ""max"": 0.6849066615104675}, ""boundary_fraction"": 0.00015631513088010252, ""prediction_std"": 0.0025906891096383333}}","{""encoder_H"": {""all"": 0.00027636284357868135}, ""decoder_hidden"": {""all"": 0.00012890063226222992}, ""base_logits"": {""AU"": 0.0005519369151443243, ""VA"": 0.0009477427811361849, ""expression"": 0.0003771433839574456}, ""stochastic_logits"": {""AU"": 0.00012453222007025033, ""VA"": 0.0006933240219950676, ""expression"": 8.78151913639158e-05}, ""final_raw"": {""AU"": 0.0002768567646853626, ""VA"": 0.0009207507246173918, ""expression"": 0.00018947636999655515}}"
C0,1500,0.21800333261489868,"{""AU"": {""vjp_norm"": 0.20853076875209808, ""finite"": true}, ""VA"": {""vjp_norm"": 2.0568044185638428, ""finite"": true}, ""expression"": {""vjp_norm"": 0.2265649139881134, ""finite"": true}}","{""AU"": {""mean"": 0.18214792013168335, ""std"": 0.2125345915555954, ""abs_quantiles"": {""min"": 0.0053003584034740925, ""p05"": 0.010655454359948635, ""p50"": 0.09140820056200027, ""p95"": 0.6835511326789856, ""p99"": 0.8632789254188538, ""max"": 0.9325689673423767}, ""boundary_fraction"": 0.03692222386598587, ""prediction_std"": 0.07523772865533829}, ""VA"": {""mean"": -0.13509336113929749, ""std"": 0.6535789370536804, ""abs_quantiles"": {""min"": 0.0005399882211349905, ""p05"": 0.2677316665649414, ""p50"": 0.6654742360115051, ""p95"": 0.8977801203727722, ""p99"": 0.9325125217437744, ""max"": 0.9665300846099854}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.5597673058509827}, ""expression"": {""mean"": 0.125, ""std"": 0.15213246643543243, ""abs_quantiles"": {""min"": 0.001324920798651874, ""p05"": 0.004992420319467783, ""p50"": 0.05947839096188545, ""p95"": 0.4643429219722748, ""p99"": 0.6550000905990601, ""max"": 0.9289354085922241}, ""boundary_fraction"": 0.15407291054725647, ""prediction_std"": 0.07200159132480621}}","{""encoder_H"": {""all"": 0.00022122425434645265}, ""decoder_hidden"": {""all"": 4.075107062817551e-05}, ""base_logits"": {""AU"": 0.0004055344907101244, ""VA"": 0.0005101066781207919, ""expression"": 0.00022554869065061212}, ""stochastic_logits"": {""AU"": 8.996296674013138e-05, ""VA"": 0.00022170538431964815, ""expression"": 6.0536454839166254e-05}, ""final_raw"": {""AU"": 0.00022158195497468114, ""VA"": 0.00043439961154945195, ""expression"": 0.0001325838384218514}}"
C0,900,0.12742666900157928,"{""AU"": {""vjp_norm"": 0.08255156129598618, ""finite"": true}, ""VA"": {""vjp_norm"": 0.5661210417747498, ""finite"": true}, ""expression"": {""vjp_norm"": 0.04381559044122696, ""finite"": true}}","{""AU"": {""mean"": 0.16211780905723572, ""std"": 0.24444057047367096, ""abs_quantiles"": {""min"": 0.009247509762644768, ""p05"": 0.016144461929798126, ""p50"": 0.04610387980937958, ""p95"": 0.8299152851104736, ""p99"": 0.8939781188964844, ""max"": 0.9246202707290649}, ""boundary_fraction"": 0.00010000000474974513, ""prediction_std"": 0.045792341232299805}, ""VA"": {""mean"": 0.05198926851153374, ""std"": 0.7241365909576416, ""abs_quantiles"": {""min"": 0.0032918930519372225, ""p05"": 0.39253732562065125, ""p50"": 0.7472618222236633, ""p95"": 0.8969703316688538, ""p99"": 0.9213481545448303, ""max"": 0.9442777037620544}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.6587123274803162}, ""expression"": {""mean"": 0.125, ""std"": 0.23074455559253693, ""abs_quantiles"": {""min"": 0.002381885191425681, ""p05"": 0.0047236280515789986, ""p50"": 0.024717610329389572, ""p95"": 0.7879637479782104, ""p99"": 0.8518224358558655, ""max"": 0.9067986011505127}, ""boundary_fraction"": 0.23657292127609253, ""prediction_std"": 0.0451846569776535}}","{""encoder_H"": {""all"": 0.000122482146252878}, ""decoder_hidden"": {""all"": 2.6290512323612347e-05}, ""base_logits"": {""AU"": 0.00039664225187152624, ""VA"": 0.00041965561104007065, ""expression"": 0.0003173401055391878}, ""stochastic_logits"": {""AU"": 9.042419696925208e-05, ""VA"": 8.821718802209944e-05, ""expression"": 9.843469160841778e-05}, ""final_raw"": {""AU"": 0.0002151682274416089, ""VA"": 0.00026370835257694125, ""expression"": 0.00017132212815340608}}"
C0,400,0.09388333559036255,"{""AU"": {""vjp_norm"": 0.08342179656028748, ""finite"": true}, ""VA"": {""vjp_norm"": 1.2340459823608398, ""finite"": true}, ""expression"": {""vjp_norm"": 0.06973722577095032, ""finite"": true}}","{""AU"": {""mean"": 0.19269908964633942, ""std"": 0.20132660865783691, ""abs_quantiles"": {""min"": 0.010256110690534115, ""p05"": 0.0206758975982666, ""p50"": 0.12092932313680649, ""p95"": 0.6467770338058472, ""p99"": 0.9184325933456421, ""max"": 0.9548964500427246}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.03255894407629967}, ""VA"": {""mean"": -0.041274622082710266, ""std"": 0.6172962784767151, ""abs_quantiles"": {""min"": 0.00035727021167986095, ""p05"": 0.09316028654575348, ""p50"": 0.557469367980957, ""p95"": 0.9219573140144348, ""p99"": 0.9549767374992371, ""max"": 0.9683565497398376}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.37727832794189453}, ""expression"": {""mean"": 0.125, ""std"": 0.11890891939401627, ""abs_quantiles"": {""min"": 0.007098646368831396, ""p05"": 0.015352470800280571, ""p50"": 0.08716011047363281, ""p95"": 0.37168869376182556, ""p99"": 0.5168370604515076, ""max"": 0.71937495470047}, ""boundary_fraction"": 0.0019062500214204192, ""prediction_std"": 0.036954499781131744}}","{""encoder_H"": {""all"": 0.0004968593129888177}, ""decoder_hidden"": {""all"": 0.00010316763655282557}, ""base_logits"": {""AU"": 0.00045243598287925124, ""VA"": 0.0010257423855364323, ""expression"": 0.0003155884041916579}, ""stochastic_logits"": {""AU"": 0.0001655978267081082, ""VA"": 0.0003815459494944662, ""expression"": 7.518944767070934e-05}, ""final_raw"": {""AU"": 0.00024778765509836376, ""VA"": 0.0007068553823046386, ""expression"": 0.00016918295295909047}}"
C0,700,0.11311333626508713,"{""AU"": {""vjp_norm"": 0.13678844273090363, ""finite"": true}, ""VA"": {""vjp_norm"": 1.7399200201034546, ""finite"": true}, ""expression"": {""vjp_norm"": 0.18836332857608795, ""finite"": true}}","{""AU"": {""mean"": 0.19381970167160034, ""std"": 0.19501686096191406, ""abs_quantiles"": {""min"": 0.008230743929743767, ""p05"": 0.017809851095080376, ""p50"": 0.11611516773700714, ""p95"": 0.6242238283157349, ""p99"": 0.7944690585136414, ""max"": 0.9391359090805054}, ""boundary_fraction"": 0.00046111110714264214, ""prediction_std"": 0.04467146471142769}, ""VA"": {""mean"": 0.1976528763771057, ""std"": 0.6343467235565186, ""abs_quantiles"": {""min"": 0.00011914968490600586, ""p05"": 0.17200887203216553, ""p50"": 0.6455761790275574, ""p95"": 0.9311568737030029, ""p99"": 0.9592838883399963, ""max"": 0.9751234650611877}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.3843216001987457}, ""expression"": {""mean"": 0.125, ""std"": 0.13002754747867584, ""abs_quantiles"": {""min"": 0.004343981854617596, ""p05"": 0.01239729579538107, ""p50"": 0.08839837461709976, ""p95"": 0.4362804889678955, ""p99"": 0.5877031087875366, ""max"": 0.8114698529243469}, ""boundary_fraction"": 0.028312500566244125, ""prediction_std"": 0.04520144686102867}}","{""encoder_H"": {""all"": 0.0004300175351090729}, ""decoder_hidden"": {""all"": 8.157053525792435e-05}, ""base_logits"": {""AU"": 0.0004910546122118831, ""VA"": 0.0007996723288670182, ""expression"": 0.0002836249186657369}, ""stochastic_logits"": {""AU"": 0.00012865678581874818, ""VA"": 0.00034012048854492605, ""expression"": 6.805995508329943e-05}, ""final_raw"": {""AU"": 0.0002574626705609262, ""VA"": 0.000649316469207406, ""expression"": 0.00016081104695331305}}"
C0,1700,0.2578299939632416,"{""AU"": {""vjp_norm"": 0.34755295515060425, ""finite"": true}, ""VA"": {""vjp_norm"": 3.3367550373077393, ""finite"": true}, ""expression"": {""vjp_norm"": 0.36902356147766113, ""finite"": true}}","{""AU"": {""mean"": 0.19099818170070648, ""std"": 0.2397412806749344, ""abs_quantiles"": {""min"": 0.004345056600868702, ""p05"": 0.010597798973321915, ""p50"": 0.07982207089662552, ""p95"": 0.7542024850845337, ""p99"": 0.9359780550003052, ""max"": 0.9632034301757812}, ""boundary_fraction"": 0.041999999433755875, ""prediction_std"": 0.07319843024015427}, ""VA"": {""mean"": 0.12107883393764496, ""std"": 0.6082373261451721, ""abs_quantiles"": {""min"": 0.0030549669172614813, ""p05"": 0.23205304145812988, ""p50"": 0.6017899513244629, ""p95"": 0.888899564743042, ""p99"": 0.9255192875862122, ""max"": 0.9608358144760132}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.4341934621334076}, ""expression"": {""mean"": 0.125, ""std"": 0.17783495783805847, ""abs_quantiles"": {""min"": 0.0011593503877520561, ""p05"": 0.0038748395163565874, ""p50"": 0.04456903785467148, ""p95"": 0.5591057538986206, ""p99"": 0.7661948800086975, ""max"": 0.9255477786064148}, ""boundary_fraction"": 0.17426040768623352, ""prediction_std"": 0.06743979454040527}}","{""encoder_H"": {""all"": 0.0002747518883552402}, ""decoder_hidden"": {""all"": 3.450073563726619e-05}, ""base_logits"": {""AU"": 0.00043870508670806885, ""VA"": 0.0006631125579588115, ""expression"": 0.0003031943633686751}, ""stochastic_logits"": {""AU"": 9.270387090509757e-05, ""VA"": 0.0001653481594985351, ""expression"": 7.909211853984743e-05}, ""final_raw"": {""AU"": 0.0002312557480763644, ""VA"": 0.0004283706075511873, ""expression"": 0.00017157234833575785}}"
C0,2000,0.326971173286438,"{""AU"": {""vjp_norm"": 0.4311661124229431, ""finite"": true}, ""VA"": {""vjp_norm"": 3.443117380142212, ""finite"": true}, ""expression"": {""vjp_norm"": 0.1860218048095703, ""finite"": true}}","{""AU"": {""mean"": 0.1501283347606659, ""std"": 0.20700164139270782, ""abs_quantiles"": {""min"": 0.003805846208706498, ""p05"": 0.007315059192478657, ""p50"": 0.06085094064474106, ""p95"": 0.6733281016349792, ""p99"": 0.8756321668624878, ""max"": 0.9361505508422852}, ""boundary_fraction"": 0.11113854497671127, ""prediction_std"": 0.05513977259397507}, ""VA"": {""mean"": 0.07473735511302948, ""std"": 0.6774519085884094, ""abs_quantiles"": {""min"": 5.856901407241821e-05, ""p05"": 0.3001581132411957, ""p50"": 0.690086841583252, ""p95"": 0.8844760656356812, ""p99"": 0.9202971458435059, ""max"": 0.9677402973175049}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.38469600677490234}, ""expression"": {""mean"": 0.125, ""std"": 0.2064514011144638, ""abs_quantiles"": {""min"": 0.000672529567964375, ""p05"": 0.0024330562446266413, ""p50"": 0.032957129180431366, ""p95"": 0.6847565174102783, ""p99"": 0.8463893532752991, ""max"": 0.946122407913208}, ""boundary_fraction"": 0.22699330747127533, ""prediction_std"": 0.05445003882050514}}","{""encoder_H"": {""all"": 0.0004021793429274112}, ""decoder_hidden"": {""all"": 4.383673513075337e-05}, ""base_logits"": {""AU"": 0.0004683967272285372, ""VA"": 0.0007213969947770238, ""expression"": 0.00035211839713156223}, ""stochastic_logits"": {""AU"": 0.00010098642815137282, ""VA"": 0.00023385633539874107, ""expression"": 9.263541869586334e-05}, ""final_raw"": {""AU"": 0.0002522953145671636, ""VA"": 0.0005620931042358279, ""expression"": 0.00020452358876354992}}"
C0,1200,0.16040000319480896,"{""AU"": {""vjp_norm"": 0.17271186411380768, ""finite"": true}, ""VA"": {""vjp_norm"": 2.475867509841919, ""finite"": true}, ""expression"": {""vjp_norm"": 0.1675841510295868, ""finite"": true}}","{""AU"": {""mean"": 0.16813284158706665, ""std"": 0.20951621234416962, ""abs_quantiles"": {""min"": 0.005347674712538719, ""p05"": 0.011790871620178223, ""p50"": 0.07467391341924667, ""p95"": 0.6410393118858337, ""p99"": 0.8859675526618958, ""max"": 0.9504120945930481}, ""boundary_fraction"": 0.023827778175473213, ""prediction_std"": 0.05787955969572067}, ""VA"": {""mean"": 0.14282679557800293, ""std"": 0.6560317873954773, ""abs_quantiles"": {""min"": 0.0002568960189819336, ""p05"": 0.21156445145606995, ""p50"": 0.6735062599182129, ""p95"": 0.9020147323608398, ""p99"": 0.9453756809234619, ""max"": 0.9838756918907166}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.5438018441200256}, ""expression"": {""mean"": 0.125, ""std"": 0.1546120047569275, ""abs_quantiles"": {""min"": 0.001835523871704936, ""p05"": 0.0075153931975364685, ""p50"": 0.06659018993377686, ""p95"": 0.49226608872413635, ""p99"": 0.696005642414093, ""max"": 0.9334692358970642}, ""boundary_fraction"": 0.09402082860469818, ""prediction_std"": 0.06338286399841309}}","{""encoder_H"": {""all"": 0.00019097968470305204}, ""decoder_hidden"": {""all"": 3.252806345699355e-05}, ""base_logits"": {""AU"": 0.00044030064600519836, ""VA"": 0.0005353086162358522, ""expression"": 0.0003015729889739305}, ""stochastic_logits"": {""AU"": 0.00010243536962661892, ""VA"": 0.0001608547318028286, ""expression"": 6.826911703683436e-05}, ""final_raw"": {""AU"": 0.00023415092437062413, ""VA"": 0.00038564830902032554, ""expression"": 0.00016760676226112992}}"
C0,1600,0.2341233342885971,"{""AU"": {""vjp_norm"": 0.48137274384498596, ""finite"": true}, ""VA"": {""vjp_norm"": 3.2768828868865967, ""finite"": true}, ""expression"": {""vjp_norm"": 0.4542941451072693, ""finite"": true}}","{""AU"": {""mean"": 0.21820878982543945, ""std"": 0.24432583153247833, ""abs_quantiles"": {""min"": 0.004425475373864174, ""p05"": 0.011975862085819244, ""p50"": 0.10359382629394531, ""p95"": 0.7767763137817383, ""p99"": 0.8917482495307922, ""max"": 0.9436315298080444}, ""boundary_fraction"": 0.029616666957736015, ""prediction_std"": 0.06456083059310913}, ""VA"": {""mean"": -0.14041849970817566, ""std"": 0.6019303798675537, ""abs_quantiles"": {""min"": 0.0006493328837677836, ""p05"": 0.2443012297153473, ""p50"": 0.6005621552467346, ""p95"": 0.8660831451416016, ""p99"": 0.909934401512146, ""max"": 0.9520564079284668}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.3698780834674835}, ""expression"": {""mean"": 0.125, ""std"": 0.15895871818065643, ""abs_quantiles"": {""min"": 0.0015111153479665518, ""p05"": 0.005243699997663498, ""p50"": 0.054490864276885986, ""p95"": 0.49004971981048584, ""p99"": 0.6853964924812317, ""max"": 0.8920810222625732}, ""boundary_fraction"": 0.1197395846247673, ""prediction_std"": 0.06148815527558327}}","{""encoder_H"": {""all"": 0.000382679863832891}, ""decoder_hidden"": {""all"": 3.863947495119646e-05}, ""base_logits"": {""AU"": 0.0004773532855324447, ""VA"": 0.0006122604245319963, ""expression"": 0.0003362658608239144}, ""stochastic_logits"": {""AU"": 0.00011560619168449193, ""VA"": 0.00015946368512231857, ""expression"": 8.353777229785919e-05}, ""final_raw"": {""AU"": 0.0002508043253328651, ""VA"": 0.0004145556013099849, ""expression"": 0.00019068585243076086}}"
C0,800,0.1288028508424759,"{""AU"": {""vjp_norm"": 0.14619769155979156, ""finite"": true}, ""VA"": {""vjp_norm"": 1.9326180219650269, ""finite"": true}, ""expression"": {""vjp_norm"": 0.20053596794605255, ""finite"": true}}","{""AU"": {""mean"": 0.18249474465847015, ""std"": 0.19951660931110382, ""abs_quantiles"": {""min"": 0.006939725484699011, ""p05"": 0.015139206312596798, ""p50"": 0.09518932551145554, ""p95"": 0.623755693435669, ""p99"": 0.8416061997413635, ""max"": 0.9185479879379272}, ""boundary_fraction"": 0.002314196666702628, ""prediction_std"": 0.052396249026060104}, ""VA"": {""mean"": 0.16378377377986908, ""std"": 0.6384378671646118, ""abs_quantiles"": {""min"": 0.00010716915130615234, ""p05"": 0.12970803678035736, ""p50"": 0.6485903263092041, ""p95"": 0.9275046586990356, ""p99"": 0.955864429473877, ""max"": 0.9767844676971436}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.4708361029624939}, ""expression"": {""mean"": 0.125, ""std"": 0.1512717455625534, ""abs_quantiles"": {""min"": 0.0035373528953641653, ""p05"": 0.01078655757009983, ""p50"": 0.07000093162059784, ""p95"": 0.4814756214618683, ""p99"": 0.7087555527687073, ""max"": 0.8646500110626221}, ""boundary_fraction"": 0.03963617980480194, ""prediction_std"": 0.05758793279528618}}","{""encoder_H"": {""all"": 0.0004445069353096187}, ""decoder_hidden"": {""all"": 8.084517321549356e-05}, ""base_logits"": {""AU"": 0.0005285272491164505, ""VA"": 0.0008454371709376574, ""expression"": 0.00034597478224895895}, ""stochastic_logits"": {""AU"": 0.000155361121869646, ""VA"": 0.0003173148725181818, ""expression"": 9.01472958503291e-05}, ""final_raw"": {""AU"": 0.0002808492863550782, ""VA"": 0.0006398836267180741, ""expression"": 0.0001899745111586526}}"
C0,500,0.09459333121776581,"{""AU"": {""vjp_norm"": 0.1243668645620346, ""finite"": true}, ""VA"": {""vjp_norm"": 1.425934076309204, ""finite"": true}, ""expression"": {""vjp_norm"": 0.14152763783931732, ""finite"": true}}","{""AU"": {""mean"": 0.16839055716991425, ""std"": 0.19318787753582, ""abs_quantiles"": {""min"": 0.008269790560007095, ""p05"": 0.019025538116693497, ""p50"": 0.08925569802522659, ""p95"": 0.6334578394889832, ""p99"": 0.8919675350189209, ""max"": 0.9474828839302063}, ""boundary_fraction"": 6.666666740784422e-05, ""prediction_std"": 0.0366707481443882}, ""VA"": {""mean"": -0.011969522573053837, ""std"": 0.612145721912384, ""abs_quantiles"": {""min"": 0.0003433525562286377, ""p05"": 0.09807252138853073, ""p50"": 0.5959588289260864, ""p95"": 0.8991231322288513, ""p99"": 0.9412028789520264, ""max"": 0.9690452814102173}, ""boundary_fraction"": 0.0, ""prediction_std"": 0.4562333822250366}, ""expression"": {""mean"": 0.125, ""std"": 0.14191482961177826, ""abs_quantiles"": {""min"": 0.00502918241545558, ""p05"": 0.012696638703346252, ""p50"": 0.07163339853286743, ""p95"": 0.441650390625, ""p99"": 0.6665120124816895, ""max"": 0.8670448660850525}, ""boundary_fraction"": 0.013781249523162842, ""prediction_std"": 0.04907575249671936}}","{""encoder_H"": {""all"": 0.00023008255811873823}, ""decoder_hidden"": {""all"": 5.7364144595339894e-05}, ""base_logits"": {""AU"": 0.00047939378418959677, ""VA"": 0.000561553577426821, ""expression"": 0.0002795894106384367}, ""stochastic_logits"": {""AU"": 0.00013473416038323194, ""VA"": 0.00024388296878896654, ""expression"": 7.546268170699477e-05}, ""final_raw"": {""AU"": 0.0002468916936777532, ""VA"": 0.000457872316474095, ""expression"": 0.0001529940200271085}}"
